codigo_apa,descricao,data_inici,latitude,longitude,morada,codigo_pos,localidade,geometry
ELE04996,REE Canon - CGD Lisboa - Benfica,2021-05-22,38.75005,-9.19554,Estrada de Benfica 545,1500-085,LISBOA,POINT (-9.195539999999994 38.75004999999999)
ELE05005,REE Canon - CGD Lisboa - Expo Norte,2021-05-22,38.7787638688,-9.09553928031,Alameda dos Oceanos Lote 4.43.01 M,1990-211,LISBOA,POINT (-9.095539280000025 38.77876386999998)
ELE05041,REE Canon - CGD Lisboa - Lapa,2021-05-22,38.71087,-9.16155,Rua de Buenos Aires 12 B,1200-624,LISBOA,POINT (-9.161549999999977 38.71087)
ELE05043,REE Canon - CGD Lisboa - Laranjeiras,2021-05-22,38.75054,-9.17276,Rua Abranches Ferrão 2,1600-001,LISBOA,POINT (-9.172759999999982 38.75054)
ELE05064,REE Canon - CGD Quinta dos Inglesinhos,2021-05-22,38.76371,-9.18069,Rua Padre Américo 30,1600-865,LISBOA,POINT (-9.180690000000027 38.76371)
ELE05106,REE Canon - CGD Portas de Benfica,2021-05-22,38.75283,-9.20788,Estrada de Benfica 726 C,1500-112,LISBOA,POINT (-9.207879999999989 38.75283000000002)
ELE05112,REE Canon - CGD Praça Londres,2021-05-22,38.7397,-9.13677,Praça de Londres 1,1000-189,LISBOA,POINT (-9.136770000000013 38.73970000000003)
ELE05113,REE Canon - CGD Principe Real,2021-05-22,38.7173,-9.14958,Rua da Escola Politécnica 24/26,1250-102,LISBOA,POINT (-9.149580000000014 38.71730000000002)
ELE05118,REE Epson - Fundação Champalimaud,2021-05-22,38.6932032,-9.2208869,Avenida Brasília,1400-038,LISBOA,POINT (-9.220886899999982 38.69320320000003)
ELE05122,REE Portucale VOX,2021-05-22,38.69585,-9.21276,"Rua Luis Braille, nº 6 – Loja VOX",1400-031,LISBOA,POINT (-9.212760000000003 38.69585000000001)
ELE05149,REE Canon - Fidelidade - Alto dos Moinhos,2021-05-22,38.748667,-9.176649,"Rua Abílio Mendes, 20",1500-458,LISBOA,POINT (-9.176648999999998 38.74866700000001)
ELE05151,REE MEO - Av. Afonso Costa,2021-05-22,38.74192,-9.13239,"Av. Afonso Costa, 4, 4C e 4E, SALA 1.21",1900-034,LISBOA,POINT (-9.132389999999987 38.74191999999999)
ELE05152,REE PT - Chelas,2021-05-22,38.7534383,-9.1107311,"Rua Manuel Teixeira Gomes, Edif. PT-CHELAS",1900-034,LISBOA,POINT (-9.11073110000001 38.75343830000003)
ELE05163,REE Zembe - Sede,2021-05-22,38.7755469,-9.1078465,"Estrada da Circunvalação, Arm 1 B, Olivais Norte",1800-136,LISBOA,POINT (-9.107846499999994 38.775546899999995)
ELE05183,"REE CP - Comboios de Portugal, E.P.E.",2021-05-22,38.7135452,-9.1421337,"Calçada do Duque, 20",1249-109,LISBOA,POINT (-9.142133699999988 38.7135452)
ELE05198,"REE CLOUDFLARE PORTUGAL, UNIPESSOAL, LDA",2021-05-22,38.72518,-9.15225,"Praça Marquês de Pombal 14, 14, 7o andar",1050-121,LISBOA,POINT (-9.152249999999981 38.72518000000002)
ELE05204,REE EElec - EB / S Josefa de Óbidos,2021-05-22,38.712712,-9.167973,"Rua Coronel Ribeiro Viana, s/n",1399-040,LISBOA,POINT (-9.167973000000018 38.71271200000001)
ELE05209,REE Hospital da Luz Lisboa (TMC),2021-05-22,38.75619,-9.192566,"Av. Lusíada, 100",1500-650,LISBOA,POINT (-9.192566 38.756190000000004)
